clqName,certificateNo,registrationNo,address,state,district,certificateIssuedDate,certificateExpiryDate,complaints60d,pastViolations,daysSinceLastInspection
Jom Mari Sdn Bhd,PAC/11002/2022/63477,2.01901E+11,"4-3-18, Block 4, Pangsapuri Sri Kemuning Jalan Anggerik Aranda 31/42 Kota Kemuning 40460 SHAH ALAM PETALING SELANGOR",SELANGOR,PETALING,11-Aug-22,11-Aug-25,3,0,173
Jom Mari Sdn Bhd,PAC/11002/2022/63478,2.01901E+11,"5-4-02, Block 5, Pangsapuri Sri Kemuning Jalan Anggerik Aranda 31/42 Kota Kemuning 40460 SHAH ALAM PETALING SELANGOR",SELANGOR,PETALING,11-Aug-22,11-Aug-25,3,0,15
Jom Mari Sdn Bhd,PAC/11002/2022/63479,2.01901E+11,"5-5-15, Block 5, Pangsapuri Sri Kemuning Jalan Anggerik Aranda 31/42 Kota Kemuning 40460 SHAH ALAM PETALING SELANGOR",SELANGOR,PETALING,11-Aug-22,11-Aug-25,11,0,148
Jom Mari Sdn Bhd,PAC/11002/2022/63480,2.01901E+11,"7-5-05, Block 7, Pangsapuri Sri Kemuning Jalan Anggerik Aranda 31/42 Kota Kemuning 40460 SHAH ALAM PETALING SELANGOR",SELANGOR,PETALING,11-Aug-22,11-Aug-25,3,0,211
Jom Mari Sdn Bhd,PAC/11002/2022/63481,2.01901E+11,"4-2-20, Block 4, Pangsapuri Sri Kemuning Jalan Anggerik Aranda 31/42 Kota Kemuning 40460 SHAH ALAM PETALING SELANGOR",SELANGOR,PETALING,11-Aug-22,11-Aug-25,1,1,68
Asahi Supplies & Services (M) Sdn Bhd,PAC/10501/2022/63953,406535A,"10179 & 10180, JALAN BBN 11/3B, 10304 & 10305 & 10319 & 10340 & 10354 JALAN BBN 11/3F, 10421 & 10425 & 10427, JALAN BBN 11/3P, 10273, JALAN BBN 11/3E, 10454, JALAN BBN 11/3R, 10342, JALAN BBN 11/4K, 10213, JALAN BBN 11/4B, 10188, JALAN BBN 11/4A, 10341, JALAN BBN 11/4J, 10403, JALAN BBN 11/3N, 10237, JALAN BBN 11/3D, DESA MELATI 71800 NILAI SEREMBAN NEGERI SEMBILAN",NEGERI SEMBILAN,SEREMBAN,12-Aug-22,12-Aug-25,1,1,29
MITRA UNIQUE SDN BHD,PAC/10401/2022/64034,1406625D,"BLOK B (BG-5, BG-7, BG-9, BG-11, B1-5, B1-6, B1-7, B1-8, B1-9, B1-10, B1-11, B1-12, B2-5, B2-6, B2-7, B2-8, B2-11, B3-5, B3-6, B3-7, B3-8, B3-12, B4-5, B4-6, B4-7, B4-8, B4-9, B4-10, B4-11, B4-12) PM NO. 800, MUKIM BERTAM, DAERAH MELAKA TENGAH, LOT 2294, DI ALAMAT RUMAH PANGSA BERTAM PERDANA, TAMAN BERTAM PERDANA, 75260 PULAU GADONG MELAKA 75260 MELAKA MELAKA TENGAH MELAKA",MELAKA,MELAKA TENGAH,12-Aug-22,12-Aug-25,10,4,104
APT JAYA SDN BHD,PAC/10401/2022/64475,1213236T,"NO L-3-12, BLOK L, PANGASAPURI TAMAN TASIK UTAMA AYER KEROH 75450 AYER KEROH MELAKA TENGAH MELAKA",MELAKA,MELAKA TENGAH,12-Aug-22,12-Aug-25,10,0,197
MIKHAN CORPORATION (M) SDN BHD,PAC/11401/2022/61884,842792T,"NO.1, JALAN 3/93A WARISAN CITYVIEW OFFBATU 2 1/2 JALAN CHERAS   56100 KUALA LUMPUR KUALA LUMPUR WP KUALA LUMPUR",WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,17-Aug-22,17-Aug-25,0,1,176
MIKHAN CORPORATION (M) SDN BHD,PAC/11401/2022/61885,842792T,"NO.1, JALAN 3/93A WARISAN CITYVIEW OFF BATU 2 1/2 JALAN CHERAS   56100 KUALA LUMPUR KUALA LUMPUR WP KUALA LUMPUR",WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,17-Aug-22,17-Aug-25,2,0,3
MANFORCE MANAGEMENT SDN BHD,PAC/10801/2022/61500,1339114X,"26, LALUAN MERU INDAH G6, GERBANG MERU INDAH  30020 IPOH KINTA PERAK",PERAK,KINTA,19-Aug-22,19-Aug-25,8,1,210
BLUESAND HOLDINGS SDN BHD,PAC/11001/2021/40949,1005652W,"NO 18, JALAN FAUNA 2A/8 , BANDAR RIMBAYU (FAUNA) , TELOK PANGLIMA GARANG , 42500 SELANGOR   42500 PETALING JAYA PETALING SELANGOR",SELANGOR,PETALING,25-Aug-22,25-Aug-25,3,0,32
KILAT JALUR SDN BHD,PAC/11002/2022/61497,731403T,JALAN SELAYANG SATU 27/2 Taman Bunga Negara SEKSYEN 27 40400 SHAH ALAM PETALING SELANGOR,SELANGOR,PETALING,25-Aug-22,25-Aug-25,0,0,2
LING HUI,PAC/10804/2022/64868,7.80318E+11,NO. 44 ATAS KEDAI JALAN KG SELAMAT TAMAN SELAMAT INDAH 32000 SITIAWAN MANJUNG(DINDING) PERAK,PERAK,MANJUNG(DINDING),25-Aug-22,25-Aug-25,1,1,60
KARYATAMA MITRA SEJATI SDN BHD,PAC/11004/2022/62081,510548K,Pangsapuri Sri Ayu Jalan 4/2A Seksyen 4  43650 BDR BARU BANGI HULU LANGAT SELANGOR,SELANGOR,HULU LANGAT,6-Sep-22,6-Sep-25,4,0,168
K A CONSTRUCTION SDN BHD,PAC/10401/2022/64351,972646A,"GMM 1049 LOT 1087 MUKIM SEMABOK, DAERAH MELAKA TENGAH 75050 MELAKA MELAKA TENGAH MELAKA",MELAKA,MELAKA TENGAH,7-Sep-22,7-Sep-25,15,0,35
Asahi Supplies & Services (M) Sdn Bhd,PAC/11004/2022/65630,406535A,"JALAN BERJAYA BARU 9, TAMAN BERJAYA BARU   43000 KAJANG HULU LANGAT SELANGOR",SELANGOR,HULU LANGAT,15-Sep-22,15-Sep-25,2,1,221
Asahi Supplies & Services (M) Sdn Bhd,PAC/11004/2022/65632,406535A,"PARCEL 2 SRI CAMELLIA APARTMENT, TAMAN SEPAKAT INDAH SUNGAI CHUA   43000 KAJANG HULU LANGAT SELANGOR",SELANGOR,HULU LANGAT,15-Sep-22,15-Sep-25,0,10,99
